OBJECT ID	RA	Dec
MSA Source353: 277.5000, 1.208800; Mags: [56.89 Column 20, 28.63 Column 21, 24.37 Column 22, 21.05 Column 23, 18.27 Column 24]	18 30 0.0072	+01 12 31.68
MSA Source35: 277.4870, 1.242410; Mags: [41.74 Column 20, 21.57 Column 21, 18.95 Column 22, 17.36 Column 23, 15.34 Column 24]	18 29 56.8728	+01 14 32.68
MSA Source369: 277.4889, 1.202020; Mags: [36.06 Column 20, 20.65 Column 21, 18.62 Column 22, 17.66 Column 23, 16.31 Column 24]	18 29 57.3360	+01 12 7.27
MSA Source36: 277.4853, 1.255030; Mags: [40.92 Column 20, 21.86 Column 21, 19.53 Column 22, 18.05 Column 23, 16.06 Column 24]	18 29 56.4696	+01 15 18.11
MSA Source381: 277.4780, 1.199290; Mags: [34.09 Column 20, 20.12 Column 21, 18.46 Column 22, 17.64 Column 23, 16.39 Column 24]	18 29 54.7272	+01 11 57.44
MSA Source398: 277.4913, 1.201100; Mags: [42.91 Column 20, 23.13 Column 21, 20.28 Column 22, 18.65 Column 23, 16.83 Column 24]	18 29 57.9072	+01 12 3.96
MSA Source399: 277.4900, 1.200580; Mags: [40.56 Column 20, 22.15 Column 21, 19.56 Column 22, 18.12 Column 23, 16.44 Column 24]	18 29 57.5928	+01 12 2.09
MSA Source437: 277.4820, 1.196110; Mags: [30.65 Column 20, 16.4 Column 21, 14.64 Column 22, 13.66 Column 23, 12.43 Column 24]	18 29 55.6800	+01 11 46.00
MSA Source456: 277.5161, 1.216310; Mags: [35.34 Column 20, 18.82 Column 21, 16.78 Column 22, 15.61 Column 23, 14.04 Column 24]	18 30 3.8664	+01 12 58.72
MSA Source457: 277.4881, 1.196530; Mags: [37.57 Column 20, 21.01 Column 21, 18.87 Column 22, 17.58 Column 23, 16.09 Column 24]	18 29 57.1344	+01 11 47.51
MSA Source461: 277.4840, 1.195200; Mags: [33.75 Column 20, 19.82 Column 21, 18.44 Column 22, 17.11 Column 23, 15.88 Column 24]	18 29 56.1648	+01 11 42.72
MSA Source46: 277.4876, 1.255680; Mags: [41.98 Column 20, 22.54 Column 21, 20.32 Column 22, 18.44 Column 23, 16.43 Column 24]	18 29 57.0336	+01 15 20.45
MSA Source489: 277.4812, 1.193520; Mags: [32.92 Column 20, 17.15 Column 21, 15.33 Column 22, 14.29 Column 23, 13.0 Column 24]	18 29 55.4856	+01 11 36.67
